No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,jet engine,720,6,6,60,http://pbsaerospace.com/en/aerospace/aircraft-engines
2,mesin pesawat,1000,23,2,22,http://pbsaerospace.com/en/aerospace/aircraft-engines
3,airplane engine,480,21,2,56,http://pbsaerospace.com/en/aerospace/aircraft-engines
4,mesin pesawat terbang,320,10,1,18,http://pbsaerospace.com/en/aerospace/aircraft-engines
5,aircraft engine,480,31,0,61,http://pbsaerospace.com/en/aerospace/aircraft-engines
