No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,kingtech,90,2,10,19,http://kingtechturbines.com/
2,king tech,90,2,9,12,http://kingtechturbines.com/
3,kingtech australia,90,19,1,18,http://kingtechturbines.com/
4,kintech,110,32,0,10,http://kingtechturbines.com/
