No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,p 220,390,17,2,22,http://jetcat.de/en/products/produkte/jetcat/kategorien/professional/P220-PRO
2,jet r c,110,76,0,14,http://jetcat.de/de
