No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,kratos gmi eyal,320,1,134,12,http://kratosdefense.com/microwave-digital-solutions
2,kratos defence,320,1,131,35,http://kratosdefense.com/
