No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,kratos defense and security,14800,1,5019,48,http://kratosdefense.com/
2,kratos defense,14800,1,3733,48,http://kratosdefense.com/
3,kratos industries,1900,7,63,29,http://kratosdefense.com/
4,average salary aerospace engineer,1900,47,0,41,http://kratosdefense.com/careers
5,factory jobs hiring near me,3600,68,0,39,http://kratosdefense.com/careers
