No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,kratos defense,3600,1,1029,24,http://kratosdefense.com/
2,kratos drones,90,1,27,26,http://kratosdefense.com/unmanned-systems
3,kratos valkyrie,210,2,23,22,http://kratosdefense.com/unmanned-systems/air/uncrewed-tactical-aircraft/xq-58a
4,was macht kratos defense,70,3,12,19,http://kratosdefense.com/
5,valkyrie drone,70,2,6,30,http://kratosdefense.com/unmanned-systems/air/uncrewed-tactical-aircraft/xq-58a
6,tethered drone,110,5,5,15,http://kratosdefense.com/weapon-systems/strategic/tethered-drones
7,kratos drohne,70,4,2,17,http://kratosdefense.com/unmanned-systems/air/uncrewed-tactical-aircraft
8,ge engine,320,19,1,43,http://kratosdefense.com/propulsion-power/turbine-propulsion/gek
9,brian shepard,170,13,1,20,http://kratosdefense.com/newsroom/kratos-promotes-brian-shepard-to-chief-information-officer
10,kratos airbus,70,10,1,16,http://kratosdefense.com/newsroom/kratos-airbus-preparing-two-valkyries-for-first-flight-with-european-mission-system
11,c5isr,70,38,0,23,http://kratosdefense.com/weapon-systems/strategic/c5isr-mobility-systems
12,darpa gremlins,70,29,0,42,http://kratosdefense.com/newsroom/darpa-and-dynetics-announce-successful-flight-of-x-61a-gremlins-air-vehicle
13,kratos defense stock,320,16,0,29,http://kratosdefense.com/
