No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,kratos defense security solutions,590,1,220,41,http://kratosdefense.com/
2,kratos security,590,2,41,33,http://kratosdefense.com/
3,kratos defense,590,3,33,31,http://kratosdefense.com/
4,kratos defense & security,590,3,8,37,http://kratosdefense.com/
5,aerial target,170,4,7,31,http://kratosdefense.com/unmanned-systems/air/aerial-targets
6,xq 58a valkyrie,90,2,3,37,http://kratosdefense.com/unmanned-systems/air/uncrewed-tactical-aircraft/xq-58a
